Card Set,Number,Player,Team,Seq.
1981 Tribute Gold Vinyl,5,Carson Wentz,Philadelphia Eagles,1
1981 Tribute Gold Vinyl,6,Jordan Howard,Chicago Bears,1
1981 Tribute Gold Vinyl,7,Antonio Brown,Pittsburgh Steelers,1
1981 Tribute Gold Vinyl,8,Ezekiel Elliott,Dallas Cowboys,1
1981 Tribute Gold Vinyl,9,Richard Sherman,Seattle Seahawks,1
1981 Tribute Gold Vinyl,10,Aaron Rodgers,Green Bay Packers,1
1981 Tribute Gold Vinyl,11,Khalil Mack,Oakland Raiders,1
1981 Tribute Gold Vinyl,12,Jarvis Landry,Miami Dolphins,1
1981 Tribute Gold Vinyl,13,Odell Beckham Jr.,New York Giants,1
1981 Tribute Gold Vinyl,14,Julio Jones,Atlanta Falcons,1
1981 Tribute Gold Vinyl,15,Ben Roethlisberger,Pittsburgh Steelers,1
1981 Tribute Gold Vinyl,16,A.J. Green,Cincinnati Bengals,1
1981 Tribute Gold Vinyl,17,Philip Rivers,Los Angeles Chargers,1
1981 Tribute Gold Vinyl,18,Von Miller,Denver Broncos,1
1981 Tribute Gold Vinyl,19,Jameis Winston,Tampa Bay Buccaneers,1
1981 Tribute Gold Vinyl,20,J.J. Watt,Houston Texans,1
1981 Tribute Gold Vinyl,21,Kirk Cousins,Washington Redskins,1
1981 Tribute Gold Vinyl,22,Adrian Peterson,New Orleans Saints,1
1981 Tribute Gold Vinyl,23,Derek Carr,Oakland Raiders,1
1981 Tribute Gold Vinyl,24,Matt Ryan,Atlanta Falcons,1
1981 Tribute Gold Vinyl,25,Le'Veon Bell,Pittsburgh Steelers,1
1981 Tribute Gold Vinyl,26,Dak Prescott,Dallas Cowboys,1
1981 Tribute Gold Vinyl,27,Russell Wilson,Seattle Seahawks,1
1981 Tribute Gold Vinyl,28,Matthew Stafford,Detroit Lions,1
1981 Tribute Gold Vinyl,29,Marcus Mariota,Tennessee Titans,1
1981 Tribute Gold Vinyl,30,Andrew Luck,Indianapolis Colts,1
