2017 TOPPS BASEBALL UPDATE SERIES,,,,
BASE,,,,
US177,Jake Lamb,Arizona Diamondbacks,,MLB All-Stars
US178,Stuart Turner,Cincinnati Reds,Rookie,
US179,Pierce Johnson,Chicago Cubs,Rookie,
US180,Mike Moustakas,Kansas City Royals,,MLB HR Derby
US181,Emilio Pagan,Seattle Mariners,Rookie,
US182,Jaime Garcia,Atlanta Braves,,
US183,Taylor Motter,Seattle Mariners,,
US184,Jean Segura,Seattle Mariners,,
US185,BIRDS IN THE GARDEN,St. Louis Cardinals,,
US186,Jose De Leon,Tampa Bay Rays,Rookie,
US187,Jaycob Brugman,Oakland Athletics,Rookie,
US188,Trevor Plouffe,Tampa Bay Rays,,
US189,Chad Bell,Detroit Tigers,Rookie,
US190,Brad Goldberg,Chicago White Sox,Rookie,
US191,Corey Knebel,Milwaukee Brewers,,MLB All-Stars
US192,Jacob May,Chicago White Sox,Rookie,
US193,Orlando Arcia,Milwaukee Brewers,Rookie,Rookie Debut
US194,Derek Fisher,Houston Astros,Rookie,Rookie Debut
US195,Fernando Rodney,Arizona Diamondbacks,,
US196,Brad Hand,San Diego Padres,,MLB All-Stars
US197,Dellin Betances,New York Yankees,,MLB All-Stars
US198,Chih-Wei Hu,Tampa Bay Rays,Rookie,
US199,Brett Cecil,St. Louis Cardinals,,
US200,Yoan Moncada,Chicago White Sox,Rookie,
US201,Nolan Fontana,Angels,Rookie,
US202,Kenley Jansen,Los Angeles Dodgers,,MLB All-Stars
US203,Joe Blanton,Washington Nationals,,
US204,Chris Heston,Minnesota Twins,,
US205,Zack Cozart,Cincinnati Reds,,MLB All-Stars
US206,PARTNERS IN POP,Milwaukee Brewers,,
US207,Kurt Suzuki,Atlanta Braves,,
US208,Randy Rosario,Minnesota Twins,Rookie,
US209,Josh Hader,Milwaukee Brewers,Rookie,
US210,Sammy Solis,Washington Nationals,,
US211,Rookie Davis,Cincinnati Reds,Rookie,
US212,Jose Quintana,Chicago Cubs,,
US213,Yovani Gallardo,Seattle Mariners,,
US214,Cody Bellinger,Los Angeles Dodgers,Rookie,Rookie Debut
US215,Joe Jimenez,Detroit Tigers,Rookie,
US216,J.P. Howell,Toronto Blue Jays,,
US217,Howie Kendrick,Philadelphia Phillies,,
US218,Greg Holland,Colorado Rockies,,MLB All-Stars
US219,Paul DeJong,St. Louis Cardinals,Rookie,
US220,Jeff Locke,Miami Marlins,,
US221,Mark Zagunis,Chicago Cubs,Rookie,
US222,Jose Ramirez,Cleveland Indians,,MLB All-Stars
US223,Clayton Kershaw,Los Angeles Dodgers,,MLB All-Stars
US224,Wade Davis,Chicago Cubs,,MLB All-Stars
US225,Andrew Benintendi,Boston Red Sox,Rookie,Rookie Debut
US226,Lewis Brinson,Milwaukee Brewers,Rookie,
US227,Trey Mancini,Baltimore Orioles,Rookie,Rookie Debut
US228,Wade Davis,Chicago Cubs,,
US229,Tyson Ross,Texas Rangers,,
US230,DJ LeMahieu,Colorado Rockies,,MLB All-Stars
US231,Reynaldo Lopez,Chicago White Sox,Rookie,
US232,Marcell Ozuna,Miami Marlins,,MLB All-Stars
US233,Taijuan Walker,Arizona Diamondbacks,,
US234,Francisco Lindor,Cleveland Indians,,MLB All-Stars
US235,Nick Pivetta,Philadelphia Phillies,Rookie,
,Ricardo Pinto,Philadelphia Phillies,Rookie,
US236,Starlin Castro,New York Yankees,,MLB All-Stars
US237,Buster Posey,San Francisco Giants,,MLB All-Stars
US238,Chris Bostick,Pittsburgh Pirates,Rookie,
US239,Neil Ramirez,New York Mets,,
US240,Jacob Faria,Tampa Bay Rays,Rookie,
US241,Ryon Healy,Oakland Athletics,Rookie,Rookie Debut
US242,Mike Hauschild,Texas Rangers,Rookie,
US243,Hector Velazquez,Boston Red Sox,Rookie,
US244,Justin Turner,Los Angeles Dodgers,,MLB All-Stars
US245,Yonder Alonso,Oakland Athletics,,MLB All-Stars
US246,Marc Rzepczynski,Seattle Mariners,,
US247,Dansby Swanson,Atlanta Braves,Rookie,Rookie Debut
US248,Ender Inciarte,Atlanta Braves,,MLB All-Stars
US249,Alex Reyes,St. Louis Cardinals,Rookie,Rookie Debut
US250,Daniel Robertson,Tampa Bay Rays,Rookie,
US251,Daniel Descalso,Arizona Diamondbacks,,

US252,Mike Dunn,Colorado Rockies,,
US253,Matt Belisle,Minnesota Twins,,
US254,Amir Garrett,Cincinnati Reds,Rookie,Rookie Debut
US255,Stefan Crichton,Baltimore Orioles,Rookie,
US256,Mike Ohlman,Toronto Blue Jays,Rookie,
US257,Alex Wood,Los Angeles Dodgers,,MLB All-Stars
US258,Francis Martes,Houston Astros,Rookie,
US259,Tyler Austin,New York Yankees,Rookie,Rookie Debut
US260,Carlos Correa,Houston Astros,,MLB All-Stars
US261,Max Scherzer,Washington Nationals,,MLB All-Stars
US262,Fernando Salas,New York Mets,,
US263,Brian Duensing,Chicago Cubs,,
US264,Boog Powell,Seattle Mariners,Rookie,
US265,Eric Young Jr.,Angels,,
US266,Jett Bandy,Milwaukee Brewers,,
US267,Jhoulys Chacin,San Diego Padres,,
US268,Miguel Sano,Minnesota Twins,,MLB HR Derby
US269,Craig Kimbrel,Boston Red Sox,,MLB All-Stars
US270,Gary Sanchez,New York Yankees,,MLB All-Stars
US271,Jesse Winker,Cincinnati Reds,Rookie,
US272,Justin Smoak,Toronto Blue Jays,,MLB All-Stars
US273,Dwight Smith,Toronto Blue Jays,Rookie,
US274,Mitch Moreland,Boston Red Sox,,
US275,Bradley Zimmer,Cleveland Indians,Rookie,
US276,Allen Cordoba,San Diego Padres,Rookie,
,Franchy Cordero,San Diego Padres,Rookie,
US277,Paul Goldschmidt,Arizona Diamondbacks,,MLB All-Stars
US278,Rajai Davis,Oakland Athletics,,
US279,Franklin Barreto,Oakland Athletics,Rookie,
US280,Brett Anderson,Chicago Cubs,,
US281,Luke Voit,St. Louis Cardinals,Rookie,
US282,Michael Martinez,Cleveland Indians,,
US283,Adam Eaton,Washington Nationals,,
US284,Peter Bourjos,Tampa Bay Rays,,
US285,Scott Feldman,Cincinnati Reds,,
US286,Jeff Hoffman,Colorado Rockies,Rookie,Rookie Debut
US287,Mark Leiter Jr.,Philadelphia Phillies,Rookie,
US288,Miguel Sano,Minnesota Twins,,MLB All-Stars
US289,Sam Travis,Boston Red Sox,Rookie,
US290,Anthony Rendon,Washington Nationals,,
US291,Andrew Miller,Cleveland Indians,,MLB All-Stars
US292,Jonathan Schoop,Baltimore Orioles,,MLB All-Stars
US293,Tuffy Gosewisch,Seattle Mariners,,
US294,Bobby Wahl,Oakland Athletics,Rookie,
US295,Ben Taylor,Boston Red Sox,Rookie,
US296,Giancarlo Stanton,Miami Marlins,,MLB All-Stars
US297,Reymin Guduan,Houston Astros,Rookie,
,Jordan Jankowski,Houston Astros,Rookie,
US298,Brett Eibner,Los Angeles Dodgers,,
US299,Charlie Blackmon,Colorado Rockies,,MLB HR Derby
US300,Cody Bellinger,Los Angeles Dodgers,Rookie,MLB HR Derby
BASE CLEAR VARIATION,,,,
US2,Domingo German,New York Yankees,Rookie,
US4,Matt Chapman,Oakland Athletics,Rookie,
US6,Ramon Torres,Kansas City Royals,Rookie,
US10,Ian Happ,Chicago Cubs,Rookie,
US13,Brian McCann,Houston Astros,,
US15,Kyle Higashioka,New York Yankees,Rookie,
US16,Rafael Bautista,Washington Nationals,Rookie,
US19,Eric Skoglund,Kansas City Royals,Rookie,
US25,Christian Arroyo,San Francisco Giants,Rookie,
US28,Drew Robinson,Texas Rangers,Rookie,
US29,Drew Steckenrider,Miami Marlins,Rookie,
US30,Danny Ortiz,Pittsburgh Pirates,Rookie,
US32,Luis Torrens,San Diego Padres,Rookie,
US35,Dinelson Lamet,San Diego Padres,Rookie,
US40,Pat Neshek,Philadelphia Phillies,,
US45,Johan Camargo,Atlanta Braves,Rookie,
US46,Dylan Covey,Chicago White Sox,Rookie,
US48,Ariel Hernandez,Cincinnati Reds,Rookie,
US49,Austin Bibens-Dirkx,Texas Rangers,Rookie,
US50,Cody Bellinger,Los Angeles Dodgers,Rookie,
US51,Jorge Bonifacio,Kansas City Royals,Rookie,
US53,Barrett Astin,Cincinnati Reds,Rookie,
US54,Ronald Torreyes,New York Yankees,,
US56,Jake Junis,Kansas City Royals,Rookie,
US60,Kyle Freeland,Colorado Rockies,Rookie,
US63,Andrew Cashner,Texas Rangers,,
US66,Jose Osuna,Pittsburgh Pirates,Rookie,
US70,Josh Reddick,Houston Astros,,
US74,Ryne Stanek,Tampa Bay Rays,Rookie,
US78,Jarlin Garcia,Miami Marlins,Rookie,
US89,Casey Lawrence,Seattle Mariners,Rookie,
US90,Derek Fisher,Houston Astros,Rookie,
US91,Jordan Montgomery,New York Yankees,Rookie,

US92,Anthony Alford,Toronto Blue Jays,Rookie
US96,Brett Phillips,Milwaukee Brewers,Rookie
US98,Andrew Moore,Seattle Mariners,Rookie
US100,Chris Sale,Boston Red Sox,
US101,Magneuris Sierra,St. Louis Cardinals,Rookie
US103,Matt Adams,Atlanta Braves,
US104,Sam Gaviglio,Seattle Mariners,Rookie
US105,John Brebbia,St. Louis Cardinals,Rookie
US106,Kendrys Morales,Toronto Blue Jays,
US120,Carlos Beltran,Houston Astros,
US126,Austin Slater,San Francisco Giants,Rookie
US127,Antonio Senzatela,Colorado Rockies,Rookie
US133,Keynan Middleton,Angels,Rookie
US135,Chase De Jong,Seattle Mariners,Rookie
US139,Luis Castillo,Cincinnati Reds,Rookie
US140,Sal Romano,Cincinnati Reds,Rookie
US142,Tzu-Wei Lin,Boston Red Sox,Rookie
US151,Yandy Diaz,Cleveland Indians,Rookie
US158,Phillip Ervin,Cincinnati Reds,Rookie
US159,JT Riddle,Miami Marlins,Rookie
US161,Justin Haley,Minnesota Twins,Rookie
US162,Sean Newcomb,Atlanta Braves,Rookie
US163,Edinson Volquez,Miami Marlins,
US170,Cameron Maybin,Angels,
US171,Brock Stassi,Philadelphia Phillies,Rookie
US178,Stuart Turner,Cincinnati Reds,Rookie
US179,Pierce Johnson,Chicago Cubs,Rookie
US181,Emilio Pagan,Seattle Mariners,Rookie
US184,Jean Segura,Seattle Mariners,
US186,Jose De Leon,Tampa Bay Rays,Rookie
US187,Jaycob Brugman,Oakland Athletics,Rookie
US189,Chad Bell,Detroit Tigers,Rookie
US190,Brad Goldberg,Chicago White Sox,Rookie
US192,Jacob May,Chicago White Sox,Rookie
US198,Chih-Wei Hu,Tampa Bay Rays,Rookie
US200,Yoan Moncada,Chicago White Sox,Rookie
US201,Nolan Fontana,Angels,Rookie
US208,Randy Rosario,Minnesota Twins,Rookie
US209,Josh Hader,Milwaukee Brewers,Rookie
US211,Rookie Davis,Cincinnati Reds,Rookie
US212,Jose Quintana,Chicago Cubs,
US215,Joe Jimenez,Detroit Tigers,Rookie
US219,Paul DeJong,St. Louis Cardinals,Rookie
US221,Mark Zagunis,Chicago Cubs,Rookie
US226,Lewis Brinson,Milwaukee Brewers,Rookie
US231,Reynaldo Lopez,Chicago White Sox,
US233,Taijuan Walker,Arizona Diamondbacks,
US238,Chris Bostick,Pittsburgh Pirates,Rookie
US240,Jacob Faria,Tampa Bay Rays,Rookie
US242,Mike Hauschild,Texas Rangers,Rookie
US243,Hector Velazquez,Boston Red Sox,Rookie
US250,Daniel Robertson,Tampa Bay Rays,Rookie
US255,Stefan Crichton,Baltimore Orioles,Rookie
US256,Mike Ohlman,Toronto Blue Jays,Rookie
US258,Francis Martes,Houston Astros,Rookie
US264,Boog Powell,Seattle Mariners,Rookie
US271,Jesse Winker,Cincinnati Reds,Rookie
US273,Dwight Smith,Toronto Blue Jays,Rookie
US274,Mitch Moreland,Boston Red Sox,
US275,Bradley Zimmer,Cleveland Indians,Rookie
US279,Franklin Barreto,Oakland Athletics,Rookie
US281,Luke Voit,St. Louis Cardinals,Rookie
US283,Adam Eaton,Washington Nationals,
