BASE,,,
573,Bartolo Colon,Atlanta Braves,
574,Trayce Thompson,Los Angeles Dodgers,
575,Chris Owings,Arizona Diamondbacks,
576,Russell Martin,Toronto Blue Jays,
577,Chris Tillman,Baltimore Orioles,
578,Jed Lowrie,Oakland Athletics,
579,Taylor Jungmann,Milwaukee Brewers,
580,Matt Holliday,New York Yankees,
581,Brock Holt,Boston Red Sox,
582,Julio Urias,Los Angeles Dodgers,
583,Colorado Rockies,Colorado Rockies,Team Card
584,TATER TRIUMPH,Washington Nationals,Combo Cards
585,Collin McHugh,Houston Astros,
586,Aaron Sanchez,Toronto Blue Jays,
587,Gerrit Cole,Pittsburgh Pirates,
588,Kirk Nieuwenhuis,Milwaukee Brewers,
589,Ian Desmond,Colorado Rockies,
590,TRIPLET OF TWINS,Minnesota Twins,Combo Cards
591,Matt Bush,Texas Rangers,
592,Kendall Graveman,Oakland Athletics,
593,Jose Abreu,Chicago White Sox,
594,Justin Bour,Miami Marlins,
595,Max Scherzer,Washington Nationals,
596,Ken Giles,Houston Astros,
597,Kenta Maeda,Los Angeles Dodgers,
598,Michael Taylor,Washington Nationals,
599,Cincinnati Reds,Cincinnati Reds,Team Card
600,Yoenis Cespedes,New York Mets,
601,Khris Davis,Oakland Athletics,
602,Alex Dickerson,San Diego Padres,
603,Eric Thames,Milwaukee Brewers,
604,Gavin Cecchini,New York Mets,Rookie
605,Michael Brantley,Cleveland Indians,
606,Glen Perkins,Minnesota Twins,
607,Tyler Thornburg,Boston Red Sox,

608,Los Angeles Dodgers,Los Angeles Dodgers,Team Card
609,Adalberto Mejia,Minnesota Twins,Rookie
610,Ryan Buchter,San Diego Padres,
611,Victor Martinez,Detroit Tigers,
612,Odubel Herrera,Philadelphia Phillies,
613,Jonathan Broxton,St. Louis Cardinals,
614,Shawn O'Malley,Seattle Mariners,
615,John Jaso,Pittsburgh Pirates,
616,Mark Trumbo,Baltimore Orioles,
617,A.J. Pollock,Arizona Diamondbacks,
618,Kenley Jansen,Los Angeles Dodgers,
619,Brad Brach,Baltimore Orioles,
620,Sam Dyson,Texas Rangers,
621,Chase Headley,New York Yankees,
622,Steven Wright,Boston Red Sox,
623,Melvin Upton Jr.,Toronto Blue Jays,
624,Brandon Maurer,San Diego Padres,
625,Ty Blach,San Francisco Giants,Rookie
626,Roberto Osuna,Toronto Blue Jays,
627,Zach Putnam,Chicago White Sox,
628,Domingo Santana,Milwaukee Brewers,
629,Jordy Mercer,Pittsburgh Pirates,
630,Edwin Encarnacion,Cleveland Indians,
631,Zack Wheeler,New York Mets,
632,Steven Matz,New York Mets,
633,Hunter Pence,San Francisco Giants,
634,Danny Duffy,Kansas City Royals,
635,Michael Fulmer,Detroit Tigers,
636,Allegheny Armada,Pittsburgh Pirates,Combo Cards
637,Ryan Rua,Texas Rangers,
638,Luis Valbuena,Angels,
639,Matt Kemp,Atlanta Braves,
640,Cole Hamels,Texas Rangers,
641,Robinson Cano,Seattle Mariners,
642,Renato Nunez,Oakland Athletics,Rookie
643,Wei-Yin Chen,Miami Marlins,
644,Jose Altuve,Houston Astros,
645,Trea Turner,Washington Nationals,
646,Corey Knebel,Milwaukee Brewers,
647,Jose Reyes,New York Mets,
648,Seattle Mariners,Seattle Mariners,Team Card
649,Manny Machado,Baltimore Orioles,
650,Andrew McCutchen,Pittsburgh Pirates,
651,Jose Lobaton,Washington Nationals,
652,Kyle Seager,Seattle Mariners,
653,Cam Bedrosian,Angels,
654,Chris Young,Boston Red Sox,
655,Garrett Richards,Angels,
656,Todd Frazier,Chicago White Sox,
657,Kevin Quackenbush,San Diego Padres,
658,James Paxton,Seattle Mariners,
659,Melky Cabrera,Chicago White Sox,

660,Jeanmar Gomez,Philadelphia Phillies,
661,Peter Bourjos,Philadelphia Phillies,
662,J.A. Happ,Toronto Blue Jays,
663,Ketel Marte,Arizona Diamondbacks,
664,Blake Swihart,Boston Red Sox,
665,Yu Darvish,Texas Rangers,
666,Rougned Odor,Texas Rangers,
667,Alex Cobb,Tampa Bay Rays,
668,Jedd Gyorko,St. Louis Cardinals,
669,Corey Kluber,Cleveland Indians,
670,Martin Maldonado,Angels,
