BASE,,,
197,Jacoby Ellsbury,New York Yankees®,
198,Francisco Cervelli,Pittsburgh Pirates®,
199,Johnny Cueto,San Francisco Giants®,
200,Homer Bailey,Cincinnati Reds®,
201,Eddie Rosario,Minnesota Twins®,
202,Masahiro Tanaka,New York Yankees®,League Leaders
203,Tyler Naquin,Cleveland Indians®,
204,Anthony Rizzo,Chicago Cubs®,League Leaders
205,Kendrys Morales,Kansas City Royals®,
206,Chicago Cubs®,Chicago Cubs®,World Series Highlight

207,Justin Upton,Detroit Tigers®,
208,Masahiro Tanaka,New York Yankees®,
209,Jon Gray,Colorado RockiesTM,
210,Yoan Moncada,Boston Red Sox®,Rookie
211,Noah Syndergaard,New York Mets®,League Leaders
212,Tanner Roark,Washington Nationals®,
213,Alex Wood,Los Angeles Dodgers®,
214,Jose Altuve,Houston Astros®,League Leaders
215,Johnny Giavotella,Angels®,
216,Denard Span,San Francisco Giants®,
217,Miami Marlins,Miami Marlins®,
218,Michael Saunders,Toronto Blue Jays®,
219,Joe Musgrove,Houston Astros®,Rookie
220,Ryan Braun,Milwaukee BrewersTM,
221,Adam Wainwright,St. Louis Cardinals®,
222,Cesar Hernandez,Philadelphia Phillies®,
223,Jason Heyward,Chicago Cubs®,
224,Hector Rondon,Chicago Cubs®,
225,Wade Davis,Kansas City Royals®,
226,Logan Morrison,Tampa Bay RaysTM,
227,Byron Buxton,Minnesota Twins®,
228,Mike Foltynewicz,Atlanta BravesTM,
229,David Ortiz,Boston Red Sox®,League Leaders
230,Northern (High)lights,Toronto Blue Jays®,Combo Card
231,Rubby De La Rosa,Arizona Diamondbacks®,
232,Geovany Soto,Angels®,
233,Nomar Mazara,Texas Rangers®,
234,Luke Weaver,St. Louis Cardinals®,Rookie
235,San Francisco Giants,San Francisco Giants®,
236,Lucas Duda,New York Mets®,
237,Joey Gallo,Texas Rangers®,
238,Ben Zobrist,Chicago Cubs®,
239,Rajai Davis,Cleveland Indians®,
240,Mike Aviles,Detroit Tigers®,
241,Chris Young,Kansas City Royals®,
242,Mookie Betts,Boston Red Sox®,League Leaders
243,Felix Hernandez,Seattle MarinersTM,
244,Freddie Freeman,Atlanta BravesTM,
245,Jackie Bradley Jr.,Boston Red Sox®,
246,Hunter Strickland,San Francisco Giants®,
247,Hector Neris,Philadelphia Phillies®,
248,Yasmany Tomas,Arizona Diamondbacks®,
249,New York Yankees,New York Yankees®,
250,Sean Rodriguez,Pittsburgh Pirates®,
251,Justin Turner,Los Angeles Dodgers®,
252,Clint Robinson,Washington Nationals®,
