BASE,,,
76,Jake Marisnick,Houston Astros,
77,Kolten Wong,St. Louis Cardinals,
78,Josh Collmenter,Arizona Diamondbacks,
79,Alex Rios,Kansas City Royals,
80,Dustin Ackley,Seattle Mariners™,
81,Felix Hernandez,Seattle Mariners™,
82,Curtis Granderson,New York Mets,
83,Jean Segura,Milwaukee Brewers™,
84,Adam LaRoche,Chicago White Sox,
85,Hunter Pence,San Francisco Giants,
86,Francisco Liriano,Pittsburgh Pirates,
87,Josh Donaldson,Toronto Blue Jays,
88,Kendrys Morales,Kansas City Royals,
89,Francisco Lindor,Cleveland Indians,RC
90,Freddie Freeman,Atlanta Braves™,
91,Rick Porcello,Boston Red Sox,
92,Tyson Ross,San Diego Padres™,
93,Billy Butler,Oakland Athletics™,
94,Scott Kazmir,Oakland Athletics™,
95,Martin Prado,Miami Marlins,
96,Pat Neshek,Houston Astros,
97,Travis Wood,Chicago Cubs,
98,Brandon Phillips,Cincinnati Reds,
99,Jayson Werth,Washington Nationals,
100,Buster Posey,San Francisco Giants,
101,Norichika Aoki,San Francisco Giants,
102,Prince Fielder,Texas Rangers,
103,Brett Lawrie,Oakland Athletics™,
104,Cole Hamels,Philadelphia Phillies,
105,Jon Lester,Chicago Cubs,
106,Aaron Hill,Arizona Diamondbacks,
107,Wei-Yin Chen,Baltimore Orioles,
108,Joe Panik,San Francisco Giants,
109,DJ LeMahieu,Colorado Rockies™,
110,Carlos Correa,Houston Astros,RC
111,Robinson Cano,Seattle Mariners™,
112,Neftali Feliz,Texas Rangers,
113,Adam Jones,Baltimore Orioles,
114,Asdrubal Cabrera,Tampa Bay Rays™,
115,Wil Myers,San Diego Padres™,
116,Matt Kemp,San Diego Padres™,
117,Fernando Rodney,Seattle Mariners™,
118,Addison Reed,Arizona Diamondbacks,
119,Aroldis Chapman,Cincinnati Reds,
120,Brian Dozier,Minnesota Twins,
121,Edinson Volquez,Kansas City Royals,
122,Chris Tillman,Baltimore Orioles,
123,Huston Street,Los Angeles Angels,
124,Todd Frazier,Cincinnati Reds,
125,Miguel Montero,Chicago Cubs,
126,Francisco Rodriguez,Milwaukee Brewers™,
127,Avisail Garcia,Chicago White Sox,
128,Yoenis Cespedes,Detroit Tigers,
129,Nick Swisher,Cleveland Indians,
130,Jason Grilli,Atlanta Braves™,
131,Giancarlo Stanton,Miami Marlins,
132,Yordano Ventura,Kansas City Royals,
133,Jordan Zimmermann,Washington Nationals,
134,Stephen Vogt,Oakland Athletics™,
135,Anthony DeSclafani,Cincinnati Reds,
136,Dustin Pedroia,Boston Red Sox,
137,Steve Pearce,Baltimore Orioles,
138,Koji Uehara,Boston Red Sox,
139,Mitch Moreland,Texas Rangers,
140,Albert Pujols,Los Angeles Angels,
141,Jacoby Ellsbury,New York Yankees,
142,Matt Adams,St. Louis Cardinals,
143,Alex Wood,Atlanta Braves™,
144,Adrian Beltre,Texas Rangers,
145,Julio Teheran,Atlanta Braves™,
146,Nick Markakis,Atlanta Braves™,
147,Alexei Ramirez,Chicago White Sox,
148,Salvador Perez,Kansas City Royals,
149,Gerrit Cole,Pittsburgh Pirates,
150,Matt Harvey,New York Mets,
151,Gregory Polanco,Pittsburgh Pirates,
152,Glen Perkins,Minnesota Twins,
153,Ichiro,Miami Marlins,
154,Dallas Keuchel,Houston Astros,
155,Hanley Ramirez,Boston Red Sox,
156,Alex Rodriguez,New York Yankees,
157,Brett Gardner,New York Yankees,
158,Howie Kendrick,Los Angeles Dodgers,
159,Danny Santana,Minnesota Twins,
160,Nolan Arenado,Colorado Rockies™,
161,Addison Russell,Chicago Cubs,RC
162,Delino DeShields Jr.,Texas Rangers,RC
163,Kevin Plawecki,New York Mets,RC
164,Michael Lorenzen,Cincinnati Reds,RC
165,Brandon Finnegan,Kansas City Royals,RC
166,A.J. Cole,Washington Nationals,RC
167,Joc Pederson,Los Angeles Dodgers,RC
168,Jake Lamb,Arizona Diamondbacks,RC
169,Chi Chi Gonzalez,Texas Rangers,RC
170,Keone Kela,Texas Rangers,RC
171,Jorge Soler,Chicago Cubs,RC
172,Yasmany Tomas,Arizona Diamondbacks,RC
173,Roberto Osuna,Toronto Blue Jays,RC
174,Rusney Castillo,Boston Red Sox,RC
175,Carlos Rodon,Chicago White Sox,RC
176,Eddie Rosario,Minnesota Twins,RC
177,Tim Cooney,St. Louis Cardinals,RC
178,Javier Baez,Chicago Cubs,RC
179,Dalton Pompey,Toronto Blue Jays,RC
180,Blake Swihart,Boston Red Sox,RC
181,Daniel Norris,Toronto Blue Jays,RC
182,Devon Travis,Toronto Blue Jays,RC
183,Raisel Iglesias,Cincinnati Reds,RC
184,Preston Tucker,Houston Astros,RC
185,Joey Gallo,Texas Rangers,RC
186,Miguel Castro,Toronto Blue Jays,RC
187,Michael Taylor,Washington Nationals,RC
188,Austin Hedges,San Diego Padres™,RC
189,Jung Ho Kang,Pittsburgh Pirates,RC
190,Archie Bradley,Arizona Diamondbacks,RC
191,James McCann,Detroit Tigers,RC
