BASE,,
PAPER BASE CARDS,,
150,Aaron Judge,New York Yankees®
151,Nick Plummer,St. Louis Cardinals®
152,David Dahl,Colorado Rockies™
153,Brian Mundell,Colorado Rockies™
154,Bradley Zimmer,Cleveland Indians®
155,Tanner Rainey,Cincinnati Reds®
156,JC Cardenas,Toronto Blue Jays®
157,Austin Riley,Atlanta Braves™
158,Kevin Kramer,Pittsburgh Pirates®
159,Hunter Renfroe,San Diego Padres™
160,Grant Holmes,Los Angeles Dodgers®
161,Isaiah White,Miami Marlins®
162,Justin Jacome,Miami Marlins®
163,Amed Rosario,New York Mets®
164,Josh Bell,Pittsburgh Pirates®
165,Eric Jenkins,Texas Rangers®
166,Reese McGuire,Pittsburgh Pirates®
167,Sean Newcomb,Angels®
168,Reynaldo Lopez,Washington Nationals®
169,Conor Biggio,Houston Astros®
170,Andrew Suarez,San Francisco Giants®
171,Trey Ball,Boston Red Sox®
172,Austin Rei,Boston Red Sox®
173,Drew Finley,New York Yankees®
174,Skye Bolt,Oakland Athletics™
175,Daniel Robertson,Tampa Bay Rays™
176,Avery Romero,Miami Marlins®
177,Jon Harris,Toronto Blue Jays®
178,Christin Stewart,Detroit Tigers®
179,Nelson Rodriguez,Cleveland Indians®
180,Austin Smith,San Diego Padres™
181,Michael Soroka,Atlanta Braves™
182,Andrew Benintendi,Boston Red Sox®
183,Matt Crownover,Washington Nationals®
184,Franklin Barreto,Oakland Athletics™
185,Willie Calhoun,Los Angeles Dodgers®
186,Braxton Davidson,Atlanta Braves™
187,Jake Woodford,St. Louis Cardinals®
188,Ryan McKenna,Baltimore Orioles®
189,Ryan Helsley,St. Louis Cardinals®
190,Carson Sands,Chicago Cubs®
191,Tyler Beede,San Francisco Giants®
192,Jeff Hendrix,New York Yankees®
193,Nick Howard,Cincinnati Reds®
194,Chris Betts,Tampa Bay Rays™
195,Jagger Rusconi,Boston Red Sox®
196,Matt Olson,Oakland Athletics™
197,Jake Cronenworth,Tampa Bay Rays™
198,Alex Robinson,Minnesota Twins®
199,Albert Almora,Chicago Cubs®
200,Brendan Rodgers,Colorado Rockies™
AUTOGRAPHS,,
CHROME DRAFT PICK AUTOGRAPHS,,
BCA-AB,Andrew Benintendi,Boston Red Sox®
BCA-AR,Ashe Russell,Kansas City Royals®
BCA-ARI,Austin Riley,Atlanta Braves™
BCA-ASM,Austin Smith,San Diego Padres™
BCA-ASU,Andrew Suarez,San Francisco Giants®
BCA-AY,Alex Young,Arizona Diamondbacks®
BCA-BB,Beau Burrows,Detroit Tigers®
BCA-BL,Brett Lilek,Miami Marlins®
BCA-BR,Brendan Rodgers,Colorado Rockies™
BCA-CB,Chris Betts,Tampa Bay Rays™
BCA-CBI,Conor Biggio,Houston Astros®
BCA-CF,Carson Fulmer,Chicago White Sox®
BCA-CG,Cam Gibson,Detroit Tigers®
BCA-CP,Cody Ponce,Milwaukee Brewers™
BCA-CS,Chris Shaw,San Francisco Giants®
BCA-CST,Christin Stewart,Detroit Tigers®
BCA-DD,Donnie Dewees,Chicago Cubs®
BCA-DF,Drew Finley,New York Yankees®
BCA-DL,Desmond Lindsay,New York Mets®
BCA-DS,Dansby Swanson,Arizona Diamondbacks®
BCA-DST,DJ Stewart,Baltimore Orioles®
BCA-DT,Dillon Tate,Texas Rangers®
BCA-EJ,Eric Jenkins,Texas Rangers®
BCA-GW,Garrett Whitley,Tampa Bay Rays™
BCA-IH,Ian Happ,Chicago Cubs®
BCA-JD,Jeff Degano,New York Yankees®
BCA-JHI,Juan Hillman,Cleveland Indians®
BCA-JK,James Kaprielian,New York Yankees®
BCA-JN,Josh Naylor,Miami Marlins®
BCA-JNI,Jacob Nix,San Diego Padres™
BCA-JW,Jake Woodford,St. Louis Cardinals®
BCA-KA,Kolby Allard,Atlanta Braves™
BCA-KH,Kyle Holder,New York Yankees®
BCA-KHA,Ke'Bryan Hayes,Pittsburgh Pirates®
BCA-KN,Kevin Newman,Pittsburgh Pirates®
BCA-KT,Kyle Tucker,Houston Astros®
BCA-LH,Lucas Herbert,Atlanta Braves™
BCA-MM,Michael Matuella,Texas Rangers®
BCA-MR,Mariano Rivera,Washington Nationals®
BCA-MS,Michael Soroka,Atlanta Braves™
BCA-MW,Mike Nikorak,Colorado Rockies™
BCA-MWO,Max Wotell,New York Mets®
BCA-NK,Nathan Kirby,Milwaukee Brewers™
BCA-NN,Nick Neidert,Seattle Mariners™
BCA-NP,Nick Plummer,St. Louis Cardinals®
BCA-NW,Nolan Watson,Kansas City Royals®
BCA-PB,Phil Bickford,San Francisco Giants®
BCA-PL,Peter Lambert,Colorado Rockies™
BCA-RM,Richie Martin,Oakland Athletics™
BCA-RMO,Ryan Mountcastle,Baltimore Orioles®
BCA-SK,Scott Kingery,Philadelphia Phillies®
BCA-TC,Trent Clark,Milwaukee Brewers™
BCA-TE,Thomas Eshelman,Houston Astros®
BCA-TJ,Tyler Jay,Minnesota Twins®
BCA-TMA,Tate Matheny,Boston Red Sox®
BCA-TN,Tyler Nevin,Colorado Rockies™
BCA-TR,Tanner Rainey,Cincinnati Reds®
BCA-TS,Tyler Stephenson,Cincinnati Reds®
BCA-TW,Taylor Ward,Angels®
BCA-WB,Walker Buehler,Los Angeles Dodgers®
BOWMAN SCOUTS FANTASY IMPACTS AUTO PARALLEL,,
BSI-AB,Andrew Benintendi,Boston Red Sox®
BSI-CF,Carson Fulmer,Chicago White Sox®
BSI-DS,Dansby Swanson,Arizona Diamondbacks®
BSI-DT,Dillon Tate,Texas Rangers®
BSI-IH,Ian Happ,Chicago Cubs®
BSI-JA,Jorge Alfaro,Philadelphia Phillies®
BSI-JC,J.P. Crawford,Philadelphia Phillies®
BSI-JK,James Kaprielian,New York Yankees®
BSI-KF,Kyle Freeland,Colorado Rockies™
BSI-KN,Kevin Newman,Pittsburgh Pirates®
BSI-MO,Matt Olson,Oakland Athletics™
BSI-TE,Thomas Eshelman,Houston Astros®
BSI-TG,Tyler Glasnow,Pittsburgh Pirates®
BSI-TJ,Tyler Jay,Minnesota Twins®
BSI-WB,Walker Buehler,Los Angeles Dodgers®
PRIME PAIRINGS AUTOGRAPHS,,
PPA-ASO,Michael Soroka,Atlanta Braves™
,Kolby Allard,Atlanta Braves™
PPA-BB,Tyler Beede,San Francisco Giants®
,Phil Bickford,San Francisco Giants®
PPA-FA,Spencer Adams,Chicago White Sox®
,Carson Fulmer,Chicago White Sox®
PPA-HM,Billy McKinney,Chicago Cubs®
,Ian Happ,Chicago Cubs®
PPA-JS,Tyler Jay,Minnesota Twins®
,Kohl Stewart,Minnesota Twins®
PPA-KC,Ian Clarkin,New York Yankees®
,James Kaprielian,New York Yankees®
PPA-NF,Mike Nikorak,Colorado Rockies™
,Kyle Freeland,Colorado Rockies™
PPA-NT,Cole Tucker,Pittsburgh Pirates®
,Kevin Newman,Pittsburgh Pirates®
PPA-RW,Brendan Rodgers,Colorado Rockies™
,Forrest Wall,Colorado Rockies™
PPA-RWA,Ashe Russell,Kansas City Royals®
,Nolan Watson,Kansas City Royals®
PPA-SR,Brendan Rodgers,Colorado Rockies™
,Dansby Swanson,Arizona Diamondbacks®
PPA-TA,Dillon Tate,Texas Rangers®
,Jorge Alfaro,Texas Rangers®
PPA-TP,Brett Phillips,Houston Astros®
,Kyle Tucker,Houston Astros®
PPA-WR,Garrett Whitley,Tampa Bay Rays™
,Daniel Robertson,Tampa Bay Rays™
DRAFT DIVIDENDS AUTO PARALLEL,,
DD-AB,Andrew Benintendi,Boston Red Sox®
DD-BZ,Bradley Zimmer,Cleveland Indians®
DD-CA,Chris Anderson,Los Angeles Dodgers®
DD-DS,Dansby Swanson,Arizona Diamondbacks®
DD-DST,DJ Stewart,Baltimore Orioles®
DD-HR,Hunter Renfroe,San Diego Padres™
DD-JK,James Kaprielian,New York Yankees®
DD-LW,Luke Weaver,St. Louis Cardinals®
DD-RM,Richie Martin,Oakland Athletics™
DD-TW,Taylor Ward,Angels®
BOWMAN BLACK AUTOGRAPHS,,
BBC-AR,Ashe Russell,Kansas City Royals®
BBC-BB,Beau Burrows,Detroit Tigers®
BBC-BR,Brendan Rodgers,Colorado Rockies™
BBC-CF,Carson Fulmer,Chicago White Sox®
BBC-DS,Dansby Swanson,Arizona Diamondbacks®
BBC-DST,DJ Stewart,Baltimore Orioles®
BBC-GW,Garrett Whitley,Tampa Bay Rays™
BBC-KT,Kyle Tucker,Houston Astros®
BBC-MN,Mike Nikorak,Colorado Rockies™
BBC-PB,Phil Bickford,San Francisco Giants®
BBC-TC,Trent Clark,Milwaukee Brewers™
BBC-TW,Taylor Ward,Angels®
BBC-WB,Walker Buehler,Los Angeles Dodgers®
TOP OF THE CLASS BOX TOPPERS ORANGE AUTO PARALLEL,,
TOC-AB,Andrew Benintendi,Boston Red Sox®
TOC-BR,Brendan Rodgers,Colorado Rockies™
TOC-CF,Carson Fulmer,Chicago White Sox®
TOC-DS,Dansby Swanson,Arizona Diamondbacks®
TOC-DT,Dillon Tate,Texas Rangers®
TOC-IH,Ian Happ,Chicago Cubs®
TOC-KT,Kyle Tucker,Houston Astros®
TOC-TJ,Tyler Jay,Minnesota Twins®
TOC-TS,Tyler Stephenson,Cincinnati Reds®
UNDER ARMOUR GAME AUTOGRAPHED CARDS,,
,Austin Riley,
,Ke'Bryan Hayes,
,Kyle Tucker,
,Nick Plummer,
,Daz Cameron,
,Starling Heredia,
,Chris Betts,
,Mitchell Hansen,
,Cody Poteet,
,Demi Orimoloye,
RELICS,,
2015 FUTURES GAME RELIC CARDS,,
FGR-BN,Brandon Nimmo,New York Mets®
FGR-BS,Blake Snell,Tampa Bay Rays™
FGR-BZ,Bradley Zimmer,Cleveland Indians®
FGR-JB,Josh Bell,Pittsburgh Pirates®
FGR-JC,J.P. Crawford,Philadelphia Phillies®
FGR-KM,Keury Mella,San Francisco Giants®
FGR-LG,Lucas Giolito,Washington Nationals®
FGR-MM,Manuel Margot,Boston Red Sox®
FGR-MO,Matt Olson,Oakland Athletics™
FGR-NM,Nomar Mazara,Texas Rangers®
FGR-ORA,Orlando Arcia,Milwaukee Brewers™
FGR-RD,Rafael Devers,Boston Red Sox®
FGR-RT,Raimel Tapia,Colorado Rockies™
FGR-SN,Sean Newcomb,Angels®
FGR-TB,Tyler Beede,San Francisco Giants®
INSERT,,
BOWMAN SCOUTS FANTASY IMPACT,,
BSI-AB,Andrew Benintendi,Boston Red Sox®
BSI-CF,Carson Fulmer,Chicago White Sox®
BSI-DS,Dansby Swanson,Arizona Diamondbacks®
BSI-DT,Dillon Tate,Texas Rangers®
BSI-IH,Ian Happ,Chicago Cubs®
BSI-JA,Jorge Alfaro,Philadelphia Phillies®
BSI-JC,J.P. Crawford,Philadelphia Phillies®
BSI-JK,James Kaprielian,New York Yankees®
BSI-KC,Kyle Crick,San Francisco Giants®
BSI-KF,Kyle Freeland,Colorado Rockies™
BSI-KN,Kevin Newman,Pittsburgh Pirates®
BSI-KZ,Kyle Zimmer,Kansas City Royals®
BSI-LG,Lucas Giolito,Washington Nationals®
BSI-MO,Matt Olson,Oakland Athletics™
BSI-TA,Tim Anderson,Chicago White Sox®
BSI-TE,Thomas Eshelman,Houston Astros®
BSI-TG,Tyler Glasnow,Pittsburgh Pirates®
BSI-TJ,Tyler Jay,Minnesota Twins®
BSI-WB,Walker Buehler,Los Angeles Dodgers®
BSI-YL,Yoan Lopez,Arizona Diamondbacks®
TEAMS OF TOMORROW DIE CUT,,
TDC-1,Trey Ball,Boston Red Sox®
TDC-1,Andrew Benintendi,Boston Red Sox®
TDC-2,Dansby Swanson,Arizona Diamondbacks®
TDC-2,Domingo Leyba,Arizona Diamondbacks®
TDC-3,Brendan Rodgers,Colorado Rockies™
TDC-3,Kyle Freeland,Colorado Rockies™
TDC-4,Luis Ortiz,Texas Rangers®
TDC-4,Dillon Tate,Texas Rangers®
TDC-5,Kyle Tucker,Houston Astros®
TDC-5,Teoscar Hernandez,Houston Astros®
TDC-6,Tyler Jay,Minnesota Twins®
TDC-6,Nick Gordon,Minnesota Twins®
TDC-7,Carson Fulmer,Chicago White Sox®
TDC-7,Tyler Danish,Chicago White Sox®
TDC-8,Ian Happ,Chicago Cubs®
TDC-8,Billy McKinney,Chicago Cubs®
TDC-9,Cornelius Randolph,Philadelphia Phillies®
TDC-9,Roman Quinn,Philadelphia Phillies®
TDC-10,Tyler Stephenson,Cincinnati Reds®
TDC-10,Jesse Winker,Cincinnati Reds®
TDC-11,Josh Naylor,Miami Marlins®
TDC-11,Avery Romero,Miami Marlins®
TDC-12,Garrett Whitley,Tampa Bay Rays™
TDC-12,Casey Gillaspie,Tampa Bay Rays™
TDC-13,Kolby Allard,Atlanta Braves™
TDC-13,Braxton Davidson,Atlanta Braves™
TDC-14,Trent Clark,Milwaukee Brewers™
TDC-14,Monte Harrison,Milwaukee Brewers™
TDC-15,James Kaprielian,New York Yankees®
TDC-15,Jorge Mateo,New York Yankees®
TDC-16,Tyler Beede,San Francisco Giants®
TDC-16,Phil Bickford,San Francisco Giants®
TDC-17,Kevin Newman,Pittsburgh Pirates®
TDC-17,Austin Meadows,Pittsburgh Pirates®
TDC-18,Richie Martin,Oakland Athletics™
TDC-18,Matt Olson,Oakland Athletics™
TDC-19,Kyle Zimmer,Kansas City Royals®
TDC-19,Ashe Russell,Kansas City Royals®
TDC-20,Derek Hill,Detroit Tigers®
