BASE SET,,,
63,Christian Vazquez,Boston Red Sox,
64,Kyle Lewis,Seattle Mariners,Rookie
65,Cleveland Indians,Cleveland Indians,Team Card
66,Andrew Heaney,Los Angeles Angels,
67,Tyler Beede,San Francisco Giants,
68,James Paxton,New York Yankees,
69,Brendan McKay,Tampa Bay Rays,Rookie
70,Nico Hoerner,Chicago Cubs,Rookie
71,Sandy Alcantara,Miami Marlins,
72,"Good-Bye, Home Run!",Milwaukee Brewers,
73,Oakland Athletics,Oakland Athletics,Team Card
74,Bubba Starling,Kansas City Royals,Rookie
75,Michael Conforto,New York Mets,
76,Stephen Strasburg,Washington Nationals,World Series Highlights
77,Charlie Culberson,Atlanta Braves,
78,Bo Bichette,Toronto Blue Jays,Rookie
79,Brad Keller,Kansas City Royals,
80,Austin Barnes,Los Angeles Dodgers,
81,Ryan Yarbrough,Tampa Bay Rays,
82,Jorge Polanco,Minnesota Twins,
83,New York Yankees,New York Yankees,Team Card
84,Ken Giles,Toronto Blue Jays,
85,Soaking It All In,Chicago White Sox,
86,Hyun-Jin Ryu,Los Angeles Dodgers,League Leaders
87,St. Louis Cardinals,St. Louis Cardinals,Team Card
88,Jorge Alfaro,Miami Marlins,
89,Kurt Suzuki,Washington Nationals,
90,Brock Holt,Boston Red Sox,
91,Yolmer Sanchez,Chicago White Sox,
92,Blake Treinen,Oakland Athletics,
93,Alex Colome,Chicago White Sox,
94,Marwin Gonzalez,Minnesota Twins,
95,Ian Kennedy,Kansas City Royals,
96,Jose Abreu,Chicago White Sox,League Leaders
97,Lewis Thorpe,Minnesota Twins,Rookie
98,Jesus Aguilar,Tampa Bay Rays,
99,Dan Vogelbach,Seattle Mariners,
100,Alex Bregman,Houston Astros,
101,Brad Hand,Cleveland Indians,

102,Josh Phegley,Oakland Athletics,
103,Danny Hultzen,Chicago Cubs,Rookie
104,Marco Gonzales,Seattle Mariners,
105,Niko Goodrum,Detroit Tigers,
106,Rogelio Armenteros,Houston Astros,Rookie
107,Luis Castillo,Cincinnati Reds,
108,Josh Rojas,Arizona Diamondbacks,Rookie
109,Reese McGuire,Toronto Blue Jays,
110,Jesus Luzardo,Oakland Athletics,Rookie
111,Buster Posey,San Francisco Giants,
112,Max Stassi,Los Angeles Angels,
113,Matt Carpenter,St. Louis Cardinals,
114,Ildemaro Vargas,Arizona Diamondbacks,
115,Matt Thaiss,Los Angeles Angels,Rookie
116,Daniel Murphy,Colorado Rockies,
117,Max Kepler,Minnesota Twins,
118,Clayton Kershaw,Los Angeles Dodgers,
119,Kyle Schwarber,Chicago Cubs,
120,Kenta Maeda,Los Angeles Dodgers,
121,DJ LeMahieu,New York Yankees,
122,Caleb Smith,Miami Marlins,
123,Seth Brown,Oakland Athletics,Rookie
124,Jose Berrios,Minnesota Twins,
125,Shohei Ohtani,Los Angeles Angels,
126,German Marquez,Colorado Rockies,
127,Matt Chapman,Oakland Athletics,
128,Steven Matz,New York Mets,
129,Yoan Moncada,Chicago White Sox,
130,Michael Chavis,Boston Red Sox,Future Stars
131,Ketel Marte,Arizona Diamondbacks,
132,Jay Bruce,Philadelphia Phillies,
133,Michael Brosseau,Tampa Bay Rays,Rookie
134,David Fletcher,Los Angeles Angels,
135,Enrique Hernandez,Los Angeles Dodgers,
136,Amed Rosario,New York Mets,
137,Merrill Kelly,Arizona Diamondbacks,
138,Jackie Bradley Jr.,Boston Red Sox,
139,Jose Quintana,Chicago Cubs,
140,Trevor Bauer,Cincinnati Reds,
141,Roberto Osuna,Houston Astros,
142,Tyler Flowers,Atlanta Braves,
143,Christian Yelich,Milwaukee Brewers,League Leaders
144,Jake Arrieta,Philadelphia Phillies,
145,Paul Goldschmidt,St. Louis Cardinals,
146,Dwight Smith Jr.,Baltimore Orioles,
147,Jake Rogers,Detroit Tigers,Rookie
148,Willy Adames,Tampa Bay Rays,
149,Orlando Arcia,Milwaukee Brewers,
150,Ronald Acuña Jr.,Atlanta Braves,
151,Tommy La Stella,Los Angeles Angels,
152,Zack Wheeler,New York Mets,
153,Andrew Cashner,Boston Red Sox,

154,C.J. Cron,Minnesota Twins,
155,Jack Flaherty,St. Louis Cardinals,
156,Nick Markakis,Atlanta Braves,
157,Master & Apprentice,New York Yankees,
158,Jake Lamb,Arizona Diamondbacks,
159,Jorge Soler,Kansas City Royals,League Leaders
160,Tim & Yolmer,National LeagueTM,
161,Aroldis Chapman,New York Yankees,
162,Michel Baez,San Diego Padres,Rookie
163,Ryan Pressly,Houston Astros,
164,Matt Strahm,San Diego Padres,
165,Matthew Boyd,Detroit Tigers,
166,Nick Solak,Texas Rangers,Rookie
167,Anthony Kay,Toronto Blue Jays,Rookie
168,Fernando Tatis Jr.,San Diego Padres,Rookie Cup
169,Jacob Waguespack,Toronto Blue Jays,Rookie
170,Gregory Polanco,Pittsburgh Pirates,
171,Kole Calhoun,Los Angeles Angels,
172,Sonny Gray,Cincinnati Reds,
173,Yadier Molina,St. Louis Cardinals,
174,Alex Verdugo,Los Angeles Dodgers,
175,Lucas Giolito,Chicago White Sox,
176,Brandon Belt,San Francisco Giants,
177,Craig Kimbrel,Chicago Cubs,
178,Mauricio Dubon,San Francisco Giants,Rookie
179,Ramon Laureano,Oakland Athletics,Future Stars
180,Max Scherzer,Washington Nationals,
181,Stephen Strasburg,Washington Nationals,League Leaders
182,Vladimir Guerrero Jr.,Toronto Blue Jays,Rookie Cup
183,Starling Marte,Pittsburgh Pirates,
184,Mychal Givens,Baltimore Orioles,
185,Johnny Cueto,San Francisco Giants,
186,Roberto Perez,Cleveland Indians,
