Card Set,Number,Player,Team
Autograph Jumbo Hat Patch,IAH-GT,Gleyber Torres,New York Yankees
Autograph Jumbo Hat Patch,IAH-ID,Isan Diaz,Miami Marlins
Autograph Jumbo Hat Patch,IAH-JM,Jeff McNeil,New York Mets
Autograph Jumbo Hat Patch,IAH-JR,Jake Rogers,Detroit Tigers
Autograph Jumbo Hat Patch,IAH-JY,Jordan Yamamoto,Miami Marlins
Autograph Jumbo Hat Patch,IAH-KH,Keston Hiura,Milwaukee Brewers
Autograph Jumbo Hat Patch,IAH-LA,Logan Allen,Cleveland Indians
Autograph Jumbo Hat Patch,IAH-MB,Michael Brosseau,Tampa Bay Rays
Autograph Jumbo Hat Patch,IAH-MC,Michael Chavis,Boston Red Sox
Autograph Jumbo Hat Patch,IAH-MD,Mauricio Dubon,San Francisco Giants
Autograph Jumbo Hat Patch,IAH-NS,Nick Senzel,Cincinnati Reds
Autograph Jumbo Hat Patch,IAH-PA,Pete Alonso,New York Mets
Autograph Jumbo Hat Patch,IAH-RG,Robel Garcia,Chicago Cubs
Autograph Jumbo Hat Patch,IAH-SM,Sean Murphy,Oakland Athletics
Autograph Jumbo Hat Patch,IAH-TD,Travis Demeritte,Detroit Tigers
Autograph Jumbo Hat Patch,IAH-VGJ,Vladimir Guerrero Jr.,Toronto Blue Jays
Autograph Jumbo Hat Patch,IAH-WS,Will Smith,Los Angeles Dodgers
Autograph Jumbo Hat Patch,IAH-YA,Yordan Alvarez,Houston Astros
Autograph Jumbo Hat Patch,IAH-YC,Yu Chang,Cleveland Indians
Autograph Team Logo Patch Book,IATL-AJP,A.J. Puk,Oakland Athletics
Autograph Team Logo Patch Book,IATL-AR,Austin Riley,Atlanta Braves
Autograph Team Logo Patch Book,IATL-BM,Brendan McKay,Tampa Bay Rays
Autograph Team Logo Patch Book,IATL-BR,Brendan Rodgers,Colorado Rockies
Autograph Team Logo Patch Book,IATL-CK,Carter Kieboom,Washington Nationals
Autograph Team Logo Patch Book,IATL-FTJ,Fernando Tatis Jr.,San Diego Padres
Autograph Team Logo Patch Book,IATL-GC,Griffin Canning,Los Angeles Angels
Autograph Team Logo Patch Book,IATL-JM,Jeff McNeil,New York Mets
Autograph Team Logo Patch Book,IATL-JY,Jordan Yamamoto,Miami Marlins
Autograph Team Logo Patch Book,IATL-KH,Keston Hiura,Milwaukee Brewers
Autograph Team Logo Patch Book,IATL-NS,Nick Senzel,Cincinnati Reds
Autograph Team Logo Patch Book,IATL-WS,Will Smith,Los Angeles Dodgers
Autograph Team Logo Patch Book,IATL-YA,Yordan Alvarez,Houston Astros
Autograph Letters Book,IALP-AR,Austin Riley,Atlanta Braves
Autograph Letters Book,IALP-BB,Bo Bichette,Toronto Blue Jays
Autograph Letters Book,IALP-BM,Brendan McKay,Tampa Bay Rays
Autograph Letters Book,IALP-BR,Brendan Rodgers,Colorado Rockies
Autograph Letters Book,IALP-CK,Carter Kieboom,Washington Nationals
Autograph Letters Book,IALP-FTJ,Fernando Tatis Jr.,San Diego Padres
Autograph Letters Book,IALP-GC,Griffin Canning,Los Angeles Angels
Autograph Letters Book,IALP-JM,Jeff McNeil,New York Mets
Autograph Letters Book,IALP-JY,Jordan Yamamoto,Miami Marlins
Autograph Letters Book,IALP-KH,Keston Hiura,Milwaukee Brewers
Autograph Letters Book,IALP-MC,Michael Chavis,Boston Red Sox
Autograph Letters Book,IALP-NS,Nick Senzel,Cincinnati Reds
Autograph Letters Book,IALP-PA,Pete Alonso,New York Mets
Autograph Letters Book,IALP-VGJ,Vladimir Guerrero Jr.,Toronto Blue Jays
Autograph Letters Book,IALP-WS,Will Smith,Los Angeles Dodgers
Autograph Letters Book,IALP-YA,Yordan Alvarez,Houston Astros
Autograph Laundry Tag Book,IALT-AJ,Aaron Judge,New York Yankees
Autograph Laundry Tag Book,IALT-AR,Austin Riley,Atlanta Braves
Autograph Laundry Tag Book,IALT-BB,Bo Bichette,Toronto Blue Jays
Autograph Laundry Tag Book,IALT-BM,Brendan McKay,Tampa Bay Rays
Autograph Laundry Tag Book,IALT-FTJ,Fernando Tatis Jr.,San Diego Padres
Autograph Laundry Tag Book,IALT-GT,Gleyber Torres,New York Yankees
Autograph Laundry Tag Book,IALT-MC,Michael Chavis,Boston Red Sox
Autograph Laundry Tag Book,IALT-MT,Mike Trout,Los Angeles Angels
Autograph Laundry Tag Book,IALT-NS,Nick Senzel,Cincinnati Reds
Autograph Laundry Tag Book,IALT-PA,Pete Alonso,New York Mets
Autograph Laundry Tag Book,IALT-RH,Rhys Hoskins,Philadelphia Phillies
Autograph Laundry Tag Book,IALT-SO,Shohei Ohtani,Los Angeles Angels
Autograph Laundry Tag Book,IALT-VGJ,Vladimir Guerrero Jr.,Toronto Blue Jays
Autograph Laundry Tag Book,IALT-YA,Yordan Alvarez,Houston Astros
Autograph MLB Batterman Patch Book,IMLP-AJ,Aaron Judge,New York Yankees
Autograph MLB Batterman Patch Book,IMLP-AR,Austin Riley,Atlanta Braves
Autograph MLB Batterman Patch Book,IMLP-BB,Bo Bichette,Toronto Blue Jays
Autograph MLB Batterman Patch Book,IMLP-BM,Brendan McKay,Tampa Bay Rays
Autograph MLB Batterman Patch Book,IMLP-FTJ,Fernando Tatis Jr.,San Diego Padres
Autograph MLB Batterman Patch Book,IMLP-MC,Michael Chavis,Boston Red Sox
Autograph MLB Batterman Patch Book,IMLP-MT,Mike Trout,Los Angeles Angels
Autograph MLB Batterman Patch Book,IMLP-NS,Nick Senzel,Cincinnati Reds
Autograph MLB Batterman Patch Book,IMLP-PA,Pete Alonso,New York Mets
Autograph MLB Batterman Patch Book,IMLP-RH,Rhys Hoskins,Philadelphia Phillies
Autograph MLB Batterman Patch Book,IMLP-SO,Shohei Ohtani,Los Angeles Angels
Autograph MLB Batterman Patch Book,IMLP-VGJ,Vladimir Guerrero Jr.,Toronto Blue Jays
