2018 TOPPS BASEBALL SERIES 1 CHECKLIST,,,
BASE,,,
169,Khris Davis,Oakland AthleticsTM,League Leaders
170,Christian Yelich,Miami Marlins®,
171,John Lackey,Chicago Cubs®,
172,Willson Contreras,Chicago Cubs®,
173,Mike Moustakas,Kansas City Royals®,
174,Jimmie Sherfy,Arizona Diamondbacks®,Rookie
175,Jose Quintana,Chicago Cubs®,
176,,Seattle MarinersTM,Team Cards
177,Walker Buehler,Los Angeles Dodgers®,Rookie
178,Matt Adams,Atlanta BravesTM,
179,Brandon Woodruff,Milwaukee BrewersTM,Rookie
180,Ryan Braun,Milwaukee BrewersTM,
181,Garrett Cooper,New York Yankees®,Rookie
182,Alex Bregman,Houston Astros®,
183,Matt Kemp,Atlanta BravesTM,
184,Mike Fiers,Houston Astros®,
185,Chance Sisco,Baltimore Orioles®,Rookie
186,Luis Perdomo,San Diego PadresTM,
187,Chad Kuhl,Pittsburgh Pirates®,
188,Matt Harvey,New York Mets®,
189,Jedd Gyorko,St. Louis Cardinals®,
190,Justin Upton,Angels®,
191,Chris Archer,Tampa Bay RaysTM,
192,Nolan Arenado,Colorado RockiesTM,League Leaders
193,Aaron Judge,New York Yankees®,League Leaders
194,Lonnie Chisenhall,Cleveland Indians®,
195,Avisail Garcia,Chicago White Sox®,League Leaders
196,Orlando Arcia,Milwaukee BrewersTM,
197,Maikel Franco,Philadelphia Phillies®,
198,Marcus Semien,Oakland AthleticsTM,
199,Shin-Soo Choo,Texas Rangers®,
200,Andrew McCutchen,Pittsburgh Pirates®,
201,Gregory Polanco,Pittsburgh Pirates®,
202,Brett Phillips,Milwaukee BrewersTM,
203,Odubel Herrera,Philadelphia Phillies®,
204,Brett Gardner,New York Yankees®,
205,Seattle MarinersTM,Seattle MarinersTM,Combo Cards

206,Nick Markakis,Atlanta BravesTM,
207,Jackson Stephens,Cincinnati Reds®,Rookie
208,Andrew Cashner,Texas Rangers®,
209,Eugenio Suarez,Cincinnati Reds®,
210,Brandon Belt,San Francisco Giants®,
211,Boston Red Sox®,Boston Red Sox®,Combo Cards
212,Lance McCullers,Houston Astros®,World Series
213,J.A. Happ,Toronto Blue Jays®,
214,Corey Knebel,Milwaukee BrewersTM,
215,Marwin Gonzalez,Houston Astros®,
216,A.J. Pollock,Arizona Diamondbacks®,
217,Erick Fedde,Washington Nationals®,Rookie
218,Khris Davis,Oakland AthleticsTM,League Leaders
219,J.P. Crawford,Philadelphia Phillies®,Rookie
220,Nelson Cruz,Seattle MarinersTM,
221,Steven Matz,New York Mets®,
222,Ivan Nova,Pittsburgh Pirates®,
223,Evan Longoria,Tampa Bay RaysTM,
224,Dillon Peters,Miami Marlins®,Rookie
225,Kyle Schwarber,Chicago Cubs®,
226,Nick Williams,Philadelphia Phillies®,Rookie
227,Corey Dickerson,Tampa Bay RaysTM,
228,Zack Wheeler,New York Mets®,
229,,Texas Rangers®,Team Cards
230,Trevor Story,Colorado RockiesTM,
231,Joe Mauer,Minnesota Twins®,
232,Nate Jones,Chicago White Sox®,
233,Stephen Strasburg,Washington Nationals®,
234,Brian Anderson,Miami Marlins®,Rookie
235,Mark Reynolds,Colorado RockiesTM,
236,CC Sabathia,New York Yankees®,
237,Mike Clevinger,Cleveland Indians®,
238,Jose Bautista,Toronto Blue Jays®,
239,,Cleveland Indians®,Team Cards
240,Robinson Cano,Seattle MarinersTM,
241,Nick Pivetta,Philadelphia Phillies®,
242,Craig Kimbrel,Boston Red Sox®,
243,James McCann,Detroit Tigers®,
244,Francisco Mejia,Cleveland Indians®,Rookie
245,Willie Calhoun,Texas Rangers®,Rookie
246,Yangervis Solarte,San Diego PadresTM,
247,Anthony Banda,Arizona Diamondbacks®,Rookie
248,Jake Lamb,Arizona Diamondbacks®,
249,Christian Arroyo,San Francisco Giants®,
250,Buster Posey,San Francisco Giants®,
251,Aaron Sanchez,Toronto Blue Jays®,
252,Tim Anderson,Chicago White Sox®,
253,Nelson Cruz,Seattle MarinersTM,League Leaders
254,Adrian Beltre,Texas Rangers®,
255,Zach Davies,Milwaukee BrewersTM,
256,Eric Hosmer,Kansas City Royals®,League Leaders
257,J.D. Martinez,Arizona Diamondbacks®,

258,Tyler Saladino,Chicago White Sox®,
259,Rhys Hoskins,Philadelphia Phillies®,Rookie
260,Rick Porcello,Boston Red Sox®,
261,Andrew Stevenson,Washington Nationals®,Rookie
262,American LeagueTM,American LeagueTM,Combo Cards
263,Chase Utley,Los Angeles Dodgers®,
264,Carlos Rodon,Chicago White Sox®,
265,Javier Baez,Chicago Cubs®,
266,Jon Lester,Chicago Cubs®,
267,Yoan Moncada,Chicago White Sox®,
268,Neil Walker,Milwaukee BrewersTM,
269,Greg Holland,Colorado RockiesTM,
270,Jackie Bradley Jr.,Boston Red Sox®,
271,Cam Gallagher,Kansas City Royals®,Rookie
272,Paul Blackburn,Oakland AthleticsTM,Rookie
273,Charlie Blackmon,Colorado RockiesTM,League Leaders
274,Jeff Samardzija,San Francisco Giants®,
275,George Springer,Houston Astros®,
276,Ozzie Albies,Atlanta BravesTM,Rookie
277,Aaron Slegers,Minnesota Twins®,Rookie
278,Lucas Sims,Atlanta BravesTM,Rookie
279,Jordan Zimmermann,Detroit Tigers®,
280,Jose Abreu,Chicago White Sox®,
281,Alex Verdugo,Los Angeles Dodgers®,Rookie
282,Ender Inciarte,Atlanta BravesTM,
283,Koji Uehara,Chicago Cubs®,
284,Jose Pirela,San Diego PadresTM,
285,Trey Mancini,Baltimore Orioles®,
286,,New York Yankees®,Team Cards
287,Mark Trumbo,Baltimore Orioles®,
288,Miguel Sano,Minnesota Twins®,
289,Jonathan Villar,Milwaukee BrewersTM,
290,Salvador Perez,Kansas City Royals®,
291,Marcell Ozuna,Miami Marlins®,League Leaders
292,,Baltimore Orioles®,Team Cards
293,Felipe Rivero,Pittsburgh Pirates®,
294,Jose Altuve,Houston Astros®,League Leaders
295,Zack Godley,Arizona Diamondbacks®,
296,Lewis Brinson,Milwaukee BrewersTM,
297,Kevin Kiermaier,Tampa Bay RaysTM,
298,Houston Astros®,Houston Astros®,Combo Cards
299,Luis Santos,Toronto Blue Jays®,Rookie
300,Mike Trout,Angels®,
301,Brandon Finnegan,Cincinnati Reds®,
302,Troy Tulowitzki,Toronto Blue Jays®,
303,Luis Severino,New York Yankees®,
304,Whit Merrifield,Kansas City Royals®,
305,Miguel Andujar,New York Yankees®,Rookie
306,Nicky Delmonico,Chicago White Sox®,Rookie
307,Daniel Murphy,Washington Nationals®,League Leaders
308,Cameron Rupp,Philadelphia Phillies®,
309,Josh Reddick,Houston Astros®,

310,Jason Kipnis,Cleveland Indians®,
311,Yulieski Gurriel,Houston Astros®,
312,Carlos Asuaje,San Diego PadresTM,
313,Raimel Tapia,Colorado RockiesTM,
314,,Colorado RockiesTM,Team Cards
315,Chris Rowley,Toronto Blue Jays®,Rookie
316,Max Fried,Atlanta BravesTM,Rookie
317,Chase Headley,New York Yankees®,
318,Danny Duffy,Kansas City Royals®,
