Card Set,Number,Player,Team,
Chrome,BDC-78,Tanner Dodson,Tampa Bay Rays,
Chrome,BDC-79,Ryan Vilade,Colorado Rockies,
Chrome,BDC-80,Blake Rivera,San Francisco Giants,
Chrome,BDC-81,Adam Haseley,Philadelphia Phillies,
Chrome,BDC-82,Braydon Fisher,Los Angeles Dodgers,
Chrome,BDC-83,Kevon Jackson,Kansas City Royals,
Chrome,BDC-84,Ryder Green,New York Yankees,
Chrome,BDC-85,Jawuan Harris,San Diego Padres,
Chrome,BDC-86,Mitch Keller,Pittsburgh Pirates,
Chrome,BDC-87,Royce Lewis,Minnesota Twins,
Chrome,BDC-88,Jordyn Adams,Los Angeles Angels,
Chrome,BDC-89,Korey Holland,Cleveland Indians,
Chrome,BDC-90,Thad Ward,Boston Red Sox,
Chrome,BDC-91,Sean Murphy,Oakland Athletics,
Chrome,BDC-92,Calvin Coker,Oakland Athletics,
Chrome,BDC-93,Carter Kieboom,Washington Nationals,
Chrome,BDC-94,Jake McCarthy,Arizona Diamondbacks,
Chrome,BDC-95,Braxton Ashcraft,Pittsburgh Pirates,
Chrome,BDC-96,Colton Eastman,Philadelphia Phillies,
Chrome,BDC-97,Mitchell White,Los Angeles Dodgers,
Chrome,BDC-98,Nick Pratto,Kansas City Royals,
Chrome,BDC-99,Alex McKenna,Houston Astros,
Chrome,BDC-100,Brendan McKay,Tampa Bay Rays,
Chrome,BDC-101,Mike Shawaryn,Boston Red Sox,
Chrome,BDC-102,Levi Kelly,Arizona Diamondbacks,
Chrome,BDC-103,Osiris Johnson,Miami Marlins,
Chrome,BDC-104,Justin Jarvis,Milwaukee Brewers,
Chrome,BDC-105,Ford Proctor,Tampa Bay Rays,
Chrome,BDC-106,Ezequiel Pagan,Chicago Cubs,
Chrome,BDC-107,Jo Adell,Los Angeles Angels,
Chrome,BDC-108,Jon Duplantier,Arizona Diamondbacks,
Chrome,BDC-109,Luken Baker,St. Louis Cardinals,
Chrome,BDC-110,Grant Little,San Diego Padres,
Chrome,BDC-111,Micah Bello,Milwaukee Brewers,
Chrome,BDC-112,Jonathan India,Cincinnati Reds,
Chrome,BDC-113,Will Banfield,Miami Marlins,
Chrome,BDC-114,Keibert Ruiz,Los Angeles Dodgers,
Chrome,BDC-115,Grant Koch,Pittsburgh Pirates,
Chrome,BDC-116,Jeren Kendall,Los Angeles Dodgers,
Chrome,BDC-117,Nolan Gorman,St. Louis Cardinals,
Chrome,BDC-118,Nate Pearson,Toronto Blue Jays,
Chrome,BDC-119,Corbin Martin,Houston Astros,
